北京	0	1	0
重庆	0	2	0
安徽	0	3	0
合肥	0	3	1
安庆	0	3	2
蚌埠	0	3	3
亳州	0	3	4
巢湖	0	3	5
滁州	0	3	6
阜阳	0	3	7
贵池	0	3	8
淮北	0	3	9
淮化	0	3	10
淮南	0	3	11
黄山	0	3	12
屯溪	0	3	12
九华山	0	3	13
六安	0	3	14
马鞍山	0	3	15
宿州	0	3	16
铜陵	0	3	17
芜湖	0	3	18
宣城	0	3	19
池州	0	3	20
福建	0	4	0
福州	0	4	1
福安	0	4	2
龙岩	0	4	3
龍岩	0	4	3
南平	0	4	4
宁德	0	4	5
莆田	0	4	6
泉州	0	4	7
三明	0	4	8
邵武	0	4	9
石狮	0	4	10
永安	0	4	11
武夷山	0	4	12
厦门	0	4	13
漳州	0	4	14
甘肃	0	5	0
兰州	0	5	1
白银	0	5	2
定西	0	5	3
敦煌	0	5	4
甘南	0	5	5
金昌	0	5	6
酒泉	0	5	7
临夏	0	5	8
嘉峪关	0	5	9
平凉	0	5	10
天水	0	5	11
武都	0	5	12
武威	0	5	13
西峰	0	5	14
张掖	0	5	15
張掖	0	5	15
庆阳	0	5	16
陇南	0	5	17
广东	0	6	0
廣東	0	6	0
珠三角	1	0	0
广州	1	6	1
廣州	1	6	1
潮阳	0	6	2
潮州	0	6	3
澄海	0	6	4
东莞	1	6	5
東莞	1	6	5
佛山	1	6	6
河源	0	6	7
惠州	1	6	8
江门	0	6	9
江門	0	6	9
揭阳	0	6	10
开平	0	6	11
茂名	0	6	12
梅州	0	6	13
清远	0	6	14
汕头	0	6	15
汕頭	0	6	15
汕尾	0	6	16
韶关	0	6	17
深圳	1	6	18
顺德	0	6	19
阳江	0	6	20
英德	0	6	21
云浮	0	6	22
雲浮	0	6	22
增城	0	6	23
湛江	0	6	24
肇庆	0	6	25
中山	1	6	26
珠海	1	6	27
广西	0	7	0
南宁	0	7	1
南寧	0	7	1
百色	0	7	2
北海	0	7	3
桂林	0	7	4
防城港	0	7	5
河池	0	7	6
贺州	0	7	7
柳州	0	7	8
钦州	0	7	9
梧州	0	7	10
玉林	0	7	11
崇左	0	7	12
来宾	0	7	13
贵港	0	7	14
贵州	0	8	0
贵阳	0	8	1
貴陽	0	8	1
安顺	0	8	2
毕节	0	8	3
都匀	0	8	4
凯里	0	8	5
六盘水	0	8	6
铜仁	0	8	7
兴义	0	8	8
玉屏	0	8	9
遵义	0	8	10
黔东南	0	8	11
黔东南苗族侗族自治州	0	8	11
黔南	0	8	12
黔南布依族苗族自治州	0	8	12
黔西南	0	8	13
黔西南布依族苗族自治州	0	8	13
海南	0	9	0
海口	0	9	1
儋县	0	9	2
陵水	0	9	3
琼海	0	9	4
三亚	0	9	5
五指山	0	9	6
万宁	0	9	7
东方	0	9	8
乐东	0	9	9
乐东黎族自治县	0	9	9
保亭	0	9	10
保亭黎族苗族自治县	0	9	10
定安	0	9	11
定安县	0	9	11
文昌	0	9	12
昌江	0	9	13
琼中	0	9	14
河北	0	10	0
石家庄	0	10	1
石家莊	0	10	1
保定	0	10	2
北戴河	0	10	3
沧州	0	10	4
承德	0	10	5
丰润	0	10	6
邯郸	0	10	7
衡水	0	10	8
廊坊	0	10	9
南戴河	0	10	10
秦皇岛	0	10	11
唐山	0	10	12
新城	0	10	13
邢台	0	10	14
张家口	0	10	15
黑龙江	0	11	0
哈尔滨	0	11	1
哈爾濱	0	11	1
北安	0	11	2
大庆	0	11	3
大兴安岭	0	11	4
鹤岗	0	11	5
黑河	0	11	6
佳木斯	0	11	7
鸡西	0	11	8
牡丹江	0	11	9
齐齐哈尔	0	11	10
七台河	0	11	11
双鸭山	0	11	12
绥化	0	11	13
伊春	0	11	14
河南	0	12	0
郑州	0	12	1
鄭州	0	12	1
安阳	0	12	2
鹤壁	0	12	3
潢川	0	12	4
焦作	0	12	5
济源	0	12	6
开封	0	12	7
漯河	0	12	8
洛阳	0	12	9
南阳	0	12	10
平顶山	0	12	11
濮阳	0	12	12
三门峡	0	12	13
商丘	0	12	14
新乡	0	12	15
信阳	0	12	16
许昌	0	12	17
周口	0	12	18
驻马店	0	12	19
湖北	0	13	0
武汉	0	13	1
武漢	0	13	1
恩施	0	13	2
鄂州	0	13	3
黄冈	0	13	4
黄石	0	13	5
荆门	0	13	6
荆州	0	13	7
潜江	0	13	8
十堰	0	13	9
随州	0	13	10
隨州	0	13	10
武穴	0	13	11
仙桃	0	13	12
咸宁	0	13	13
襄阳	0	13	14
襄樊	0	13	14
孝感	0	13	15
宜昌	0	13	16
天门	0	13	17
湖南	0	14	0
长沙	0	14	1
長沙	0	14	1
常德	0	14	2
郴州	0	14	3
衡阳	0	14	4
怀化	0	14	5
吉首	0	14	6
娄底	0	14	7
邵阳	0	14	8
湘潭	0	14	9
益阳	0	14	10
岳阳	0	14	11
永州	0	14	12
张家界	0	14	13
株洲	0	14	14
湘西	0	14	15
湘西土家族苗族自治州	0	14	15
江西	0	15	0
南昌	0	15	1
抚州	0	15	2
赣州	0	15	3
吉安	0	15	4
景德镇	0	15	5
井冈山	0	15	6
九江	0	15	7
庐山	0	15	8
萍乡	0	15	9
上饶	0	15	10
上饒	0	15	10
新余	0	15	11
宜春	0	15	12
鹰潭	0	15	13
吉林	0	16	0
长春	0	16	1
長春	0	16	1
白城	0	16	2
白山	0	16	3
珲春	0	16	4
辽源	0	16	5
梅河	0	16	6
四平	0	16	8
松原	0	16	9
通化	0	16	10
延吉	0	16	11
辽宁	0	17	0
遼寧	0	17	0
沈阳	0	17	1
瀋陽	0	17	1
鞍山	0	17	2
本溪	0	17	3
朝阳	0	17	4
大连	0	17	5
大連	0	17	5
丹东	0	17	6
抚顺	0	17	7
阜新	0	17	8
葫芦岛	0	17	9
锦州	0	17	10
辽阳	0	17	11
盘锦	0	17	12
铁岭	0	17	13
营口	0	17	14
内蒙古	0	18	0
呼和浩特	0	18	1
阿拉善盟	0	18	2
包头	0	18	3
赤峰	0	18	4
东胜	0	18	5
海拉尔	0	18	6
集宁	0	18	7
临河	0	18	8
通辽	0	18	9
乌海	0	18	10
乌兰浩特	0	18	11
锡林浩特	0	18	12
乌兰察布	0	18	13
兴安盟	0	18	14
呼伦贝尔	0	18	15
巴彦淖尔	0	18	16
鄂尔多斯	0	18	17
锡林郭勒	0	18	19
锡林郭勒盟	0	18	19
宁夏	0	19	0
银川	0	19	1
固原	0	19	2
石嘴山	0	19	3
吴忠	0	19	4
中卫	0	19	5
青海	0	20	0
西宁	0	20	1
德令哈	0	20	2
格尔木	0	20	3
共和	0	20	4
海东	0	20	5
海晏	0	20	6
玛沁	0	20	7
同仁	0	20	8
玉树	0	20	9
果洛	0	20	10
海北	0	20	11
海北藏族自治州	0	20	11
海南州	0	20	12
海南藏族自治州	0	20	12
海西	0	20	13
海西蒙古族藏族自治州	0	20	13
山东	0	21	0
山東	0	21	0
济南	0	21	1
滨州	0	21	2
兖州	0	21	3
德州	0	21	4
东营	0	21	5
菏泽	0	21	6
济宁	0	21	7
莱芜	0	21	8
聊城	0	21	9
临沂	0	21	10
蓬莱	0	21	11
青岛	0	21	12
青島	0	21	12
曲阜	0	21	13
日照	0	21	14
泰安	0	21	15
潍坊	0	21	16
濰坊	0	21	16
威海	0	21	17
烟台	0	21	18
枣庄	0	21	19
淄博	0	21	20
江浙沪	2	0	0
上海	2	22	0
崇明	2	22	1
朱家角	2	22	2
江苏	2	23	0
江蘇	2	23	0
南京	2	23	1
常熟	2	23	2
常州	2	23	3
海门	2	23	4
淮安	2	23	5
江都	2	23	6
江阴	2	23	7
昆山	2	23	8
连云港	2	23	9
南通	2	23	10
启东	2	23	11
沭阳	2	23	12
宿迁	2	23	13
苏州	2	23	14
蘇州	2	23	14
太仓	2	23	15
泰州	2	23	16
同里	2	23	17
无锡	2	23	18
徐州	2	23	19
盐城	2	23	20
扬州	2	23	21
宜兴	2	23	22
仪征	2	23	23
张家港	2	23	24
镇江	2	23	25
周庄	2	23	26
浙江	2	24	0
杭州	2	24	1
安吉	2	24	2
慈溪	2	24	3
定海	2	24	4
奉化	2	24	5
海盐	2	24	6
黄岩	2	24	7
湖州	2	24	8
嘉兴	2	24	9
金华	2	24	10
临安	2	24	11
临海	2	24	12
丽水	2	24	13
宁波	2	24	14
寧波	2	24	14
瓯海	2	24	15
平湖	2	24	16
千岛湖	2	24	17
衢州	2	24	18
江山	2	24	19
瑞安	2	24	20
绍兴	2	24	21
嵊州	2	24	22
台州	2	24	23
温岭	2	24	24
温州	2	24	25
溫州	2	24	25
舟山	2	24	26
山西	0	25	0
太原	0	25	1
长治	0	25	2
大同	0	25	3
候马	0	25	4
晋城	0	25	5
离石	0	25	6
临汾	0	25	7
宁武	0	25	8
朔州	0	25	9
忻州	0	25	10
阳泉	0	25	11
榆次	0	25	12
运城	0	25	13
吕梁	0	25	14
晋中	0	25	15
陕西	0	26	0
陝西	0	26	0
西安	0	26	1
安康	0	26	2
宝鸡	0	26	3
汉中	0	26	4
渭南	0	26	5
商州	0	26	6
绥德	0	26	7
铜川	0	26	8
咸阳	0	26	9
延安	0	26	10
榆林	0	26	11
商洛	0	26	11
四川	0	27	0
成都	0	27	1
巴中	0	27	2
达州	0	27	3
德阳	0	27	4
都江堰	0	27	5
峨眉山	0	27	6
广安	0	27	7
广元	0	27	8
九寨沟	0	27	9
康定	0	27	10
乐山	0	27	11
泸州	0	27	12
马尔康	0	27	13
绵阳	0	27	14
眉山	0	27	15
南充	0	27	16
内江	0	27	17
攀枝花	0	27	18
遂宁	0	27	19
汶川	0	27	20
西昌	0	27	21
雅安	0	27	22
宜宾	0	27	23
自贡	0	27	24
资阳	0	27	25
凉山	0	27	26
凉山彝族自治州	0	27	26
涪陵	0	27	27
甘孜	0	27	28
甘孜藏族自治州	0	27	28
阿坝	0	27	29
阿坝藏族羌族自治州	0	27	29
天津	0	28	0
新疆	0	29	0
乌鲁木齐	0	29	1
烏魯木齊	0	29	1
阿克苏	0	29	2
阿勒泰	0	29	3
阿图什	0	29	4
博乐	0	29	5
昌吉	0	29	6
东山	0	29	7
哈密	0	29	8
和田	0	29	9
喀什	0	29	10
克拉玛依	0	29	11
库车	0	29	12
库尔勒	0	29	13
奎屯	0	29	14
石河子	0	29	15
塔城	0	29	16
吐鲁番	0	29	17
伊宁	0	29	18
伊犁	0	29	19
伊犁哈萨克自治州	0	29	19
巴音郭楞	0	29	20
阿拉尔	0	29	21
西藏	0	30	0
拉萨	0	30	1
阿里	0	30	2
昌都	0	30	3
林芝	0	30	4
那曲	0	30	5
日喀则	0	30	6
山南	0	30	7
云南	0	31	0
雲南	0	31	0
昆明	0	31	1
大理	0	31	2
保山	0	31	3
楚雄	0	31	4
东川	0	31	5
个旧	0	31	6
景洪	0	31	7
开远	0	31	8
临沧	0	31	9
丽江	0	31	10
六库	0	31	11
潞西	0	31	12
曲靖	0	31	13
思茅	0	31	14
普洱	0	31	14
文山	0	31	15
西双版纳	0	31	16
玉溪	0	31	17
中甸	0	31	18
昭通	0	31	19
德宏	0	31	20
德宏傣族景颇族自治州	0	31	20
怒江	0	31	21
红河	0	31	22
红河哈尼族彝族自治州	0	31	22
迪庆	0	31	23
迪庆藏族自治州	0	31	23
港澳台	3	0	0
香港	3	32	0
九龙	3	32	1
九龍	3	32	1
新界	3	32	2
澳门	3	33	0
澳門	3	33	0
离岛	3	33	1
台湾	3	34	0
臺灣	3	34	0
台北	3	34	1
臺北	3	34	1
基隆	3	34	2
台南	3	34	3
台中	3	34	4
新竹	3	34	5
嘉义	3	34	6
高雄	3	34	7
金门县	3	34	8
南投县	3	34	9
台北县	3	34	10
宜兰县	3	34	11
新竹县	3	34	12
桃园县	3	34	13
苗栗县	3	34	14
台中县	3	34	15
彰化县	3	34	16
嘉义县	3	34	17
云林县	3	34	18
台南县	3	34	19
台南縣	3	34	19
高雄县	3	34	20
屏东县	3	34	21
台东县	3	34	22
花莲县	3	34	23
澎湖县	3	34	24
其它	3	34	25
其他	3	34	25
海外	4	0	0
欧美	4	35	0
美国	4	35	1
美國	4	35	1
英国	4	35	2
法国	4	35	3
瑞士	4	35	4
澳洲	4	35	5
新西兰	4	35	6
加拿大	4	35	7
奥地利	4	35	8
德国	4	35	9
意大利	4	35	10
西班牙	4	35	11
荷兰	4	35	12
日韩	4	36	0
韩国	4	36	1
日本	4	36	2
东欧	4	37	0
俄罗斯	4	37	1
罗马尼亚	4	37	2
波兰	4	37	3
捷克	4	37	4
南亚	4	38	0
印度	4	38	1
巴基斯坦	4	38	2
东南亚	4	39	0
新加坡	4	39	1
泰国	4	39	2
马来西亚	4	39	3
非洲	4	40	0
埃及	4	40	1
其它国家	4	41	0
其他國家	4	41	0
